Sales_Order_ID,Sales_Order_Date,Sales_Employee_ID,Customer_ID,Sales_Order_Quantity_Sold,product_description,Product_Sale_Price,customer_st,customer_city
20218,1/12/2025,1007,2026,4,Imperial Stout,105,TX,Fort Worth
20241,1/19/2025,1007,2011,2,Imperial Stout,105,MO,Kansas City
20242,1/19/2025,1006,2061,3,Imperial Stout,105,MO,Columbia
20249,1/22/2025,1006,2053,8,Imperial Stout,105,OK,Stillwater
20251,1/22/2025,1007,2010,11,Imperial Stout,105,MO,Columbia
20256,1/24/2025,1006,2034,5,Imperial Stout,105,NE,Omaha
20265,1/27/2025,1006,2023,1,Imperial Stout,105,OK,Tulsa
20266,1/27/2025,1006,2022,5,Imperial Stout,105,MO,Springfield
20305,2/10/2025,1007,2021,6,Imperial Stout,105,OK,Tulsa
20307,2/11/2025,1007,2027,9,Imperial Stout,105,IA,Des Moines
20308,2/11/2025,1006,2004,8,Imperial Stout,105,AR,Little Rock
20310,2/11/2025,1007,2002,2,Imperial Stout,105,TX,Dallas
20314,2/13/2025,1007,2046,2,Imperial Stout,105,TX,Amarillo
20383,3/4/2025,1007,2001,5,Imperial Stout,105,IA,Des Moines
20403,3/9/2025,1006,2040,4,Imperial Stout,105,AR,Fort Smith
20407,3/10/2025,1006,2044,9,Imperial Stout,105,TX,Amarillo
20424,3/16/2025,1006,2050,10,Imperial Stout,105,OK,Oklahoma City
20452,3/25/2025,1007,2022,4,Imperial Stout,105,MO,Springfield
20461,3/27/2025,1007,2043,2,Imperial Stout,105,TX,Houston
20465,3/28/2025,1006,2029,8,Imperial Stout,105,KS,Topeka
20494,4/8/2025,1006,2009,2,Imperial Stout,105,TX,Dallas
20496,4/8/2025,1006,2031,5,Imperial Stout,105,IA,Iowa City
20503,4/10/2025,1006,2062,2,Imperial Stout,105,AR,North Little Rock
20537,4/19/2025,1007,2009,6,Imperial Stout,105,TX,Dallas
20539,4/19/2025,1006,2053,10,Imperial Stout,105,OK,Stillwater
20559,4/25/2025,1007,2042,11,Imperial Stout,105,AR,Springdale
20012,11/4/2024,1006,2009,1,Stout,85,TX,Dallas
20023,11/8/2024,1007,2052,2,Stout,85,OK,Oklahoma City
20037,11/13/2024,1007,2054,3,Stout,85,TX,Arlington
20043,11/16/2024,1006,2043,12,Stout,85,TX,Houston
20059,11/22/2024,1006,2060,6,Stout,85,AR,Little Rock
20086,11/30/2024,1006,2035,11,Stout,85,KS,Lenexa
20089,12/1/2024,1007,2038,10,Stout,85,OK,Oklahoma City
20120,12/12/2024,1006,2031,10,Stout,85,IA,Iowa City
20126,12/16/2024,1006,2048,9,Stout,85,TX,Amarillo
20168,12/27/2024,1007,2001,8,Stout,85,IA,Des Moines
20199,1/7/2025,1007,2008,8,Stout,85,NE,Omaha
20202,1/8/2025,1006,2035,7,Stout,85,KS,Lenexa
20211,1/10/2025,1007,2013,12,Stout,85,MO,Columbia
20250,1/22/2025,1006,2010,5,Stout,85,MO,Columbia
20253,1/22/2025,1007,2011,10,Stout,85,MO,Kansas City
20262,1/26/2025,1007,2051,12,Stout,85,TX,Austin
20271,1/28/2025,1007,2060,11,Stout,85,AR,Little Rock
20291,2/4/2025,1007,2008,7,Stout,85,NE,Omaha
20305,2/10/2025,1007,2021,3,Stout,85,OK,Tulsa
20307,2/11/2025,1007,2027,9,Stout,85,IA,Des Moines
20338,2/22/2025,1006,2013,6,Stout,85,MO,Columbia
20357,2/27/2025,1006,2045,8,Stout,85,AR,Fayetteville
20406,3/10/2025,1007,2017,4,Stout,85,OK,Tulsa
20494,4/8/2025,1006,2009,6,Stout,85,TX,Dallas
20495,4/8/2025,1007,2036,4,Stout,85,NE,Omaha
20503,4/10/2025,1006,2062,6,Stout,85,AR,North Little Rock
20003,11/1/2024,1006,2011,8,Wheat,90,MO,Kansas City
20005,11/1/2024,1006,2012,9,Wheat,90,TN,Memphis
20138,12/19/2024,1007,2041,4,Wheat,90,KS,Wichita
20161,12/25/2024,1007,2019,12,Wheat,90,TX,Houston
20211,1/10/2025,1007,2013,12,Wheat,90,MO,Columbia
20277,1/29/2025,1006,2017,1,Wheat,90,OK,Tulsa
20280,1/30/2025,1006,2040,4,Wheat,90,AR,Fort Smith
20283,1/31/2025,1007,2037,4,Wheat,90,NE,Omaha
20328,2/17/2025,1007,2037,11,Wheat,90,NE,Omaha
20375,3/2/2025,1007,2029,11,Wheat,90,KS,Topeka
20404,3/9/2025,1006,2024,3,Wheat,90,TX,Austin
20407,3/10/2025,1006,2044,12,Wheat,90,TX,Amarillo
20418,3/14/2025,1006,2016,12,IPA,90,LA,New Orleans
20438,3/18/2025,1007,2028,4,Wheat,90,OK,Oklahoma City
20451,3/24/2025,1006,2008,9,Wheat,90,NE,Omaha
20453,3/25/2025,1007,2036,3,Wheat,90,NE,Omaha
